"Variables ->","x"
"2003W37",4.08700000e+01
"2003W38",5.94900000e+01
"2003W39",2.62200000e+01
"2003W40",6.02800000e+01
"2003W41",7.11200000e+01
"2003W42",2.21700000e+01
"2003W43",1.17400000e+01
"2003W44",2.96700000e+01
"2003W45",3.18800000e+01
"2003W46",4.24200000e+01
"2003W47",5.07900000e+01
"2003W48",8.55000000e+00
"2003W49",2.62500000e+01
"2003W50",8.01000000e+01
"2003W51",2.92000000e+00
"2003W52",9.28900000e+01
"2004W01",7.30300000e+01
"2004W02",4.88600000e+01
"2004W03",5.78500000e+01
"2004W04",2.37300000e+01
"2004W05",4.58800000e+01
"2004W06",9.63100000e+01
"2004W07",5.46800000e+01
"2004W08",5.21100000e+01
"2004W09",2.31600000e+01
"2004W10",4.88900000e+01
"2004W11",6.24100000e+01
"2004W12",6.79100000e+01
"2004W13",3.95500000e+01
"2004W14",3.67400000e+01
"2004W15",9.88000000e+01
"2004W16",3.77000000e+00
"2004W17",8.85200000e+01
"2004W18",9.13300000e+01
"2004W19",7.96200000e+01
"2004W20",9.87000000e+00
"2004W21",2.61900000e+01
"2004W22",3.35400000e+01
"2004W23",6.79700000e+01
"2004W24",1.36600000e+01
"2004W25",7.21200000e+01
"2004W26",1.06800000e+01
"2004W27",6.53800000e+01
"2004W28",4.94200000e+01
"2004W29",7.79100000e+01
"2004W30",7.15000000e+01
"2004W31",9.03700000e+01
"2004W32",8.90900000e+01
"2004W33",3.34200000e+01
"2004W34",6.98700000e+01
"2004W35",1.97800000e+01
"2004W36",3.05000000e+00
"2004W37",7.44100000e+01
"2004W38",5.00000000e+01
"2004W39",4.79900000e+01
"2004W40",9.04700000e+01
"2004W41",6.09900000e+01
"2004W42",6.17700000e+01
"2004W43",8.59400000e+01
"2004W44",8.05500000e+01
"2004W45",5.76700000e+01
"2004W46",1.82900000e+01
"2004W47",2.39900000e+01
"2004W48",8.86500000e+01
"2004W49",2.87000000e+00
"2004W50",4.89900000e+01
"2004W51",1.67900000e+01
"2004W52",9.78700000e+01
"2004W53",7.12700000e+01
"2005W01",5.00500000e+01
"2005W02",4.71100000e+01
"2005W03",5.96000000e+00
"2005W04",6.82000000e+01
"2005W05",4.24000000e+00
"2005W06",7.14000000e+00
"2005W07",5.21600000e+01
"2005W08",9.67000000e+00
"2005W09",8.18100000e+01
"2005W10",8.17500000e+01
"2005W11",7.22400000e+01
"2005W12",1.49900000e+01
"2005W13",6.59600000e+01
"2005W14",5.18600000e+01
"2005W15",9.73000000e+01
"2005W16",6.49000000e+01
"2005W17",8.00300000e+01
"2005W18",4.53800000e+01
"2005W19",4.32400000e+01
"2005W20",8.25300000e+01
"2005W21",8.35000000e+00
"2005W22",1.33200000e+01
"2005W23",1.73400000e+01
"2005W24",3.90900000e+01
"2005W25",8.31400000e+01
"2005W26",8.03400000e+01
"2005W27",6.05000000e+00
"2005W28",3.99300000e+01
"2005W29",5.26900000e+01
"2005W30",4.16800000e+01
"2005W31",6.56900000e+01
"2005W32",6.28000000e+01
"2005W33",2.92000000e+01
"2005W34",4.31700000e+01
"2005W35",1.55000000e+00
"2005W36",9.84100000e+01
"2005W37",1.67200000e+01
"2005W38",1.06200000e+01
"2005W39",3.72400000e+01
"2005W40",1.98100000e+01
"2005W41",4.89700000e+01
"2005W42",3.39500000e+01
"2005W43",9.51600000e+01
"2005W44",9.20300000e+01
"2005W45",5.27000000e+00
"2005W46",7.37900000e+01
"2005W47",2.69100000e+01
"2005W48",4.22800000e+01
"2005W49",5.47900000e+01
"2005W50",9.42700000e+01
"2005W51",4.17700000e+01
"2005W52",9.83100000e+01
"2006W01",3.01500000e+01
"2006W02",7.01100000e+01
"2006W03",6.66300000e+01
"2006W04",5.39100000e+01
"2006W05",6.98100000e+01
"2006W06",6.66500000e+01
"2006W07",1.78100000e+01
"2006W08",1.28000000e+01
"2006W09",9.99100000e+01
"2006W10",1.71100000e+01
"2006W11",3.26000000e+00
"2006W12",5.61200000e+01
"2006W13",8.81900000e+01
"2006W14",6.69200000e+01
"2006W15",1.90400000e+01
"2006W16",3.68900000e+01
"2006W17",4.60700000e+01
"2006W18",9.81600000e+01
"2006W19",1.56400000e+01
"2006W20",8.55500000e+01
"2006W21",6.44800000e+01
"2006W22",3.76300000e+01
"2006W23",1.90900000e+01
"2006W24",4.28300000e+01
"2006W25",4.82000000e+01
"2006W26",1.20600000e+01
"2006W27",5.89500000e+01
"2006W28",2.26200000e+01
"2006W29",3.84600000e+01
"2006W30",5.83000000e+01
"2006W31",2.51800000e+01
"2006W32",2.90400000e+01
"2006W33",6.17100000e+01
"2006W34",2.65300000e+01
"2006W35",8.24400000e+01
"2006W36",9.82700000e+01
"2006W37",7.30200000e+01
"2006W38",3.43900000e+01
"2006W39",5.84100000e+01
"2006W40",1.07800000e+01
"2006W41",9.06300000e+01
"2006W42",8.79700000e+01
"2006W43",8.17800000e+01
"2006W44",2.60700000e+01
"2006W45",5.94400000e+01
"2006W46",2.25000000e+00
"2006W47",4.25300000e+01
"2006W48",3.12700000e+01
"2006W49",1.61500000e+01
"2006W50",1.78800000e+01
"2006W51",4.22900000e+01
"2006W52",9.42000000e+00
"2007W01",5.98500000e+01
"2007W02",4.70900000e+01
"2007W03",6.95900000e+01
"2007W04",6.99900000e+01
"2007W05",6.38500000e+01
"2007W06",3.36000000e+00
"2007W07",6.88000000e+00
"2007W08",3.19600000e+01
"2007W09",5.30900000e+01
"2007W10",6.54400000e+01
"2007W11",4.07600000e+01
"2007W12",8.20000000e+01
"2007W13",7.18400000e+01
"2007W14",9.68600000e+01
"2007W15",5.31300000e+01
"2007W16",3.25100000e+01
"2007W17",1.05600000e+01
"2007W18",6.11000000e+01
"2007W19",7.78800000e+01
"2007W20",4.23500000e+01
"2007W21",9.08000000e+00
"2007W22",2.66500000e+01
"2007W23",1.53700000e+01
"2007W24",2.81000000e+01
"2007W25",4.40100000e+01
"2007W26",5.27100000e+01
"2007W27",4.57400000e+01
"2007W28",8.75400000e+01
"2007W29",5.18100000e+01
"2007W30",9.43600000e+01
"2007W31",6.37700000e+01
"2007W32",9.57700000e+01
"2007W33",2.40700000e+01
"2007W34",6.76100000e+01
"2007W35",2.89100000e+01
"2007W36",6.71800000e+01
"2007W37",6.95100000e+01
"2007W38",6.80000000e+00
"2007W39",2.54800000e+01
"2007W40",2.24000000e+01
"2007W41",6.67800000e+01
"2007W42",8.44400000e+01
"2007W43",3.44500000e+01
"2007W44",7.80500000e+01
"2007W45",6.75300000e+01
"2007W46",6.70000000e-01
"2007W47",6.02200000e+01
"2007W48",3.86800000e+01
"2007W49",9.16000000e+01
"2007W50",1.20000000e-01
"2007W51",4.62400000e+01
"2007W52",4.24300000e+01
"2008W01",4.60900000e+01
"2008W02",7.70200000e+01
"2008W03",3.22500000e+01
"2008W04",7.84700000e+01
"2008W05",4.71400000e+01
"2008W06",3.58000000e+00
"2008W07",1.75900000e+01
"2008W08",7.21800000e+01
"2008W09",4.73500000e+01
"2008W10",1.52700000e+01
"2008W11",3.41100000e+01
"2008W12",6.07400000e+01
"2008W13",1.91700000e+01
"2008W14",7.38400000e+01
"2008W15",2.42800000e+01
"2008W16",9.17400000e+01
"2008W17",2.69100000e+01
"2008W18",7.65500000e+01
"2008W19",1.88700000e+01
"2008W20",2.87500000e+01
"2008W21",9.11000000e+00
"2008W22",5.76200000e+01
"2008W23",6.83400000e+01
"2008W24",5.46600000e+01
"2008W25",4.25700000e+01
"2008W26",6.44400000e+01
"2008W27",6.47600000e+01
"2008W28",6.79000000e+01
"2008W29",6.35800000e+01
"2008W30",9.45200000e+01
"2008W31",2.08900000e+01
"2008W32",7.09300000e+01
"2008W33",2.36200000e+01
"2008W34",1.19400000e+01
"2008W35",6.07300000e+01
"2008W36",4.50100000e+01
"2008W37",4.58700000e+01
"2008W38",6.61900000e+01
"2008W39",7.70300000e+01
"2008W40",3.50200000e+01
"2008W41",6.62000000e+01
"2008W42",4.16200000e+01
"2008W43",8.41900000e+01
"2008W44",8.32900000e+01
"2008W45",2.56400000e+01
"2008W46",6.13500000e+01
"2008W47",5.82200000e+01
"2008W48",5.40700000e+01
"2008W49",8.69900000e+01
"2008W50",2.64800000e+01
"2008W51",3.18100000e+01
"2008W52",1.19200000e+01
"2009W01",9.39800000e+01
"2009W02",6.45600000e+01
"2009W03",4.79500000e+01
"2009W04",6.39300000e+01
"2009W05",5.44700000e+01
"2009W06",6.47300000e+01
"2009W07",5.43900000e+01
"2009W08",7.21000000e+01
"2009W09",5.22500000e+01
"2009W10",9.93700000e+01
"2009W11",2.18700000e+01
"2009W12",1.05800000e+01
"2009W13",1.09700000e+01
"2009W14",6.36000000e+00
"2009W15",4.04600000e+01
"2009W16",4.48400000e+01
"2009W17",3.65800000e+01
"2009W18",7.63500000e+01
"2009W19",6.27900000e+01
"2009W20",7.72000000e+01
"2009W21",9.32900000e+01
"2009W22",9.72700000e+01
"2009W23",1.92000000e+01
"2009W24",1.38900000e+01
"2009W25",6.96300000e+01
"2009W26",9.38000000e+00
"2009W27",5.25400000e+01
"2009W28",5.30300000e+01
"2009W29",8.61100000e+01
"2009W30",4.84900000e+01
"2009W31",3.93500000e+01
"2009W32",6.71400000e+01
"2009W33",7.41300000e+01
"2009W34",5.20100000e+01
"2009W35",3.47700000e+01
"2009W36",1.50000000e+01
"2009W37",5.86100000e+01
"2009W38",2.62100000e+01
"2009W39",4.45000000e+00
"2009W40",7.54900000e+01
"2009W41",2.42800000e+01
"2009W42",4.42400000e+01
"2009W43",6.87800000e+01
"2009W44",3.59200000e+01
"2009W45",7.36300000e+01
"2009W46",3.94700000e+01
"2009W47",6.83400000e+01
"2009W48",7.04000000e+01
"2009W49",4.42300000e+01
"2009W50",1.96000000e+00
"2009W51",3.30900000e+01
"2009W52",4.24300000e+01
"2009W53",2.70300000e+01
"2010W01",1.97100000e+01
"2010W02",8.21700000e+01
"2010W03",4.29900000e+01
"2010W04",8.87800000e+01
"2010W05",3.91200000e+01
"2010W06",7.69100000e+01
"2010W07",3.96800000e+01
"2010W08",8.08500000e+01
"2010W09",7.55100000e+01
"2010W10",3.77400000e+01
"2010W11",2.16000000e+01
"2010W12",7.90400000e+01
"2010W13",9.49300000e+01
"2010W14",3.27600000e+01
"2010W15",6.71300000e+01
"2010W16",4.38600000e+01
"2010W17",8.33500000e+01
"2010W18",7.68900000e+01
"2010W19",1.67300000e+01
"2010W20",8.62000000e+01
"2010W21",9.89900000e+01
"2010W22",5.14400000e+01
"2010W23",8.84300000e+01
"2010W24",5.88000000e+01
"2010W25",1.54800000e+01
"2010W26",1.99900000e+01
"2010W27",4.07000000e+01
"2010W28",7.48700000e+01
"2010W29",8.25600000e+01
"2010W30",7.90000000e+01
"2010W31",3.18500000e+01
"2010W32",5.34100000e+01
"2010W33",9.00000000e+00
"2010W34",1.11700000e+01
"2010W35",1.36300000e+01
"2010W36",6.78700000e+01
"2010W37",4.95200000e+01
"2010W38",1.89700000e+01
"2010W39",4.95000000e+01
"2010W40",1.47600000e+01
"2010W41",5.50000000e+00
"2010W42",8.50700000e+01
"2010W43",5.60600000e+01
"2010W44",9.29600000e+01
"2010W45",6.96700000e+01
"2010W46",5.82800000e+01
"2010W47",8.15400000e+01
"2010W48",8.79000000e+01
"2010W49",9.88900000e+01
"2010W50",5.00000000e-02
"2010W51",8.65400000e+01
"2010W52",6.12600000e+01
